query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM48901.1	gnl|CDD|226883	18.846	260	165	9	254	501	201	426	0.002	38.5	39	COG4477	D					Negative regulator of septation ring formation
ACM48901.1	gnl|CDD|224117	16.176	204	161	4	191	389	766	964	0.002	38.5	31	COG1196	D					Chromosome segregation ATPases
ACM48901.1	gnl|CDD|227434	20.408	147	102	4	237	379	950	1085	0.005	36.9	23	COG5103	D	K				Cell division control protein, negative regulator of transcription
ACM48902.1	gnl|CDD|223119	54.037	161	72	1	6	166	3	161	1.49e-72	212	97	COG0041	F					Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
ACM48902.1	gnl|CDD|224605	34.043	94	54	2	2	91	114	203	6.83e-11	55.9	54	COG1691	R					NCAIR mutase (PurE)-related proteins
ACM48904.1	gnl|CDD|223843	38.824	340	203	3	22	357	37	375	2.55e-87	265	94	COG0772	D					Bacterial cell division membrane protein
ACM48905.1	gnl|CDD|223847	34.409	93	61	0	4	96	1	93	5.11e-23	82.2	95	COG0776	L					Bacterial nucleoid DNA-binding protein
ACM48906.1	gnl|CDD|223860	27.184	103	65	4	21	121	2	96	2.67e-09	48.6	81	COG0789	K					Predicted transcriptional regulators
ACM48909.1	gnl|CDD|223844	44.690	452	239	7	22	467	11	457	2.96e-161	461	93	COG0773	M					UDP-N-acetylmuramate-alanine ligase
ACM48909.1	gnl|CDD|223842	24.017	458	262	18	24	448	13	417	3.26e-26	107	88	COG0771	M					UDP-N-acetylmuramoylalanine-D-glutamate ligase
ACM48909.1	gnl|CDD|223841	23.543	429	230	17	69	448	52	431	8.38e-23	97.8	79	COG0770	M					UDP-N-acetylmuramyl pentapeptide synthase
ACM48909.1	gnl|CDD|223840	25.945	397	201	17	116	456	89	448	4.02e-14	71.2	71	COG0769	M					UDP-N-acetylmuramyl tripeptide synthase
ACM48909.1	gnl|CDD|223362	36.170	47	26	1	102	144	24	70	0.007	35.7	9	COG0285	H					Folylpolyglutamate synthase
ACM48910.1	gnl|CDD|223258	46.945	311	152	11	2	306	8	311	3.96e-128	366	93	COG0180	J					Tryptophanyl-tRNA synthetase
ACM48911.1	gnl|CDD|223649	38.816	152	89	1	58	205	40	191	1.41e-44	144	70	COG0576	O					Molecular chaperone GrpE (heat shock protein)
ACM48912.1	gnl|CDD|223195	55.714	140	61	1	3	142	5	143	1.48e-66	204	38	COG0117	H					Pyrimidine deaminase
ACM48912.1	gnl|CDD|224896	38.889	180	104	3	148	322	3	181	8.98e-50	164	47	COG1985	H					Pyrimidine reductase, riboflavin biosynthesis
ACM48912.1	gnl|CDD|223663	33.974	156	78	8	1	141	5	150	3.43e-26	99.7	38	COG0590	F	J				Cytosine/adenosine deaminases
ACM48912.1	gnl|CDD|225042	29.412	153	63	6	4	124	9	148	4.82e-11	57.8	33	COG2131	F					Deoxycytidylate deaminase
ACM48913.1	gnl|CDD|223578	56.660	533	224	4	11	539	3	532	0.0	807	94	COG0504	F					CTP synthase (UTP-ammonia lyase)
ACM48913.1	gnl|CDD|224982	24.476	143	81	7	376	518	107	222	3.66e-08	51.6	26	COG2071	R					Predicted glutamine amidotransferases
ACM48913.1	gnl|CDD|223196	61.905	21	8	0	368	388	66	86	0.007	35.3	4	COG0118	E					Glutamine amidotransferase
ACM48914.1	gnl|CDD|224233	28.070	57	37	2	28	83	23	76	0.001	32.6	51	COG1314	U					Preprotein translocase subunit SecG
ACM48916.1	gnl|CDD|227308	39.934	303	169	7	7	307	9	300	3.14e-97	286	96	COG4974	L					Site-specific recombinase XerD
ACM48916.1	gnl|CDD|227307	35.082	305	182	6	5	308	8	297	7.93e-61	193	97	COG4973	L					Site-specific recombinase XerC
ACM48916.1	gnl|CDD|223655	31.579	247	143	9	67	309	84	308	3.97e-18	80.3	78	COG0582	L					Integrase
ACM48917.1	gnl|CDD|224059	45.495	222	119	2	4	223	1	222	3.99e-89	259	98	COG1136	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM48917.1	gnl|CDD|225438	38.739	222	125	5	4	221	1	215	1.92e-61	188	97	COG2884	D					Predicted ATPase involved in cell division
ACM48917.1	gnl|CDD|226164	39.130	230	122	8	2	219	1	224	3.80e-56	176	97	COG3638	P					ABC-type phosphate/phosphonate transport system, ATPase component
ACM48917.1	gnl|CDD|224051	37.004	227	126	8	3	223	1	216	4.22e-56	175	99	COG1126	E					ABC-type polar amino acid transport system, ATPase component
ACM48917.1	gnl|CDD|226647	36.771	223	140	1	2	223	4	226	5.54e-55	172	99	COG4181	Q					Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component
ACM48917.1	gnl|CDD|224054	31.982	222	139	6	1	219	1	213	3.19e-52	167	98	COG1131	V					ABC-type multidrug transport system, ATPase component
ACM48917.1	gnl|CDD|224058	37.220	223	136	3	4	223	1	222	2.94e-50	163	98	COG1135	P					ABC-type metal ion transport system, ATPase component
ACM48917.1	gnl|CDD|224041	37.387	222	120	5	2	219	1	207	2.14e-48	156	97	COG1116	P					ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
ACM48917.1	gnl|CDD|224047	32.432	222	141	5	3	221	2	217	4.95e-46	150	98	COG1122	P					ABC-type cobalt transport system, ATPase component
ACM48917.1	gnl|CDD|224045	32.735	223	136	7	3	219	1	215	5.92e-45	148	97	COG1120	P	H				ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
ACM48917.1	gnl|CDD|224046	29.386	228	143	7	1	221	1	217	1.66e-42	141	99	COG1121	P					ABC-type Mn/Zn transport systems, ATPase component
ACM48917.1	gnl|CDD|224049	31.739	230	141	7	2	223	1	222	2.71e-42	140	99	COG1124	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM48917.1	gnl|CDD|224052	35.000	220	134	7	4	219	8	222	4.51e-42	140	96	COG1127	Q					ABC-type transport system involved in resistance to organic solvents, ATPase component
ACM48917.1	gnl|CDD|226359	31.982	222	129	7	5	219	4	210	1.77e-41	141	96	COG3839	G					ABC-type sugar transport systems, ATPase components
ACM48917.1	gnl|CDD|224048	30.342	234	152	4	2	224	278	511	1.13e-40	142	100	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM48917.1	gnl|CDD|224048	26.923	234	160	7	1	223	2	235	1.06e-36	131	100	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM48917.1	gnl|CDD|224043	33.937	221	131	5	5	219	3	214	7.66e-40	137	96	COG1118	P					ABC-type sulfate/molybdate transport systems, ATPase component
ACM48917.1	gnl|CDD|226961	33.333	231	137	6	5	223	7	232	1.45e-38	131	98	COG4598	E					ABC-type histidine transport system, ATPase component
ACM48917.1	gnl|CDD|226970	34.146	205	126	6	22	224	18	215	1.69e-38	130	91	COG4619	R					ABC-type uncharacterized transport system, ATPase component
